,Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Year
104,TFC,Gala,Gabriel,M,"$           12,900.00","$                 12,900.00",2007
105,CHV,Galindo,Maykel,F,"$           72,500.00","$                 72,500.00",2007
106,KC,Garcia,Nick,D,"$         131,250.00","$               136,250.00",2007
107,CLB,Garey,Jason,F,"$           41,250.00","$                 53,750.00",2007
108,COL,Gargan,Daniel,M,"$           30,000.00","$                 30,000.00",2007
109,CLB,Gaudette,Bill,GK,"$           30,000.00","$                 30,000.00",2007
110,CLB,Gaven,Eddie,M,"$         165,000.00","$               188,000.00",2007
111,DAL,Gbandi,Chris,D,"$         100,000.00","$               103,750.00",2007
112,DAL,Gbandi,Sandy,M,"$           12,900.00","$                 12,900.00",2007
113,LA,Glinton,Gavin,F,"$           50,000.00","$                 50,000.00",2007
114,KC,Godbolt,Aaron John,M,"$           17,700.00","$                 17,700.00",2007
115,NY,Goldthwaite,Kevin,D,"$           30,870.00","$                 30,870.00",2007
116,COL,Gomez,Hercules,F,"$           49,350.00","$                 49,350.00",2007
117,DC,Gomez,Cristian,M,"$         216,000.00","$               218,500.00",2007
118,CLB,Gonzalez,Marcos,D,"$         156,000.00","$               162,250.00",2007
119,NE,Gonzalez,Miguel,M,"$           12,900.00","$                 12,900.00",2007
120,DAL,Goodson,Clarence,D,"$           48,378.75","$                 53,378.75",2007
121,LA,Gordon,Alan,F,"$           30,870.00","$                 30,870.00",2007
122,CLB,Grabavoy,Ned,M,"$           45,050.25","$                 52,550.25",2007
123,LA,Gray,Kelly,M-D,"$           85,000.00","$                 85,000.00",2007
124,DC,Gros,Joshua,M,"$           72,500.00","$                 75,000.00",2007
125,CLB,Gruenebaum,Andy,GK,"$           17,700.00","$                 17,700.00",2007
126,KC,Guadarrama,Willy,F,"$           12,900.00","$                 12,900.00",2007
127,CHI,Guerrero,Ivan,D-M,"$         160,000.00","$               187,500.00",2007
128,CHI,Gutierrez,Diego,M,"$         126,500.00","$               126,500.00",2007
129,CHV,Guzan,Brad,GK,"$           52,237.50","$                 67,237.50",2007
130,TFC,Guzman,David,M,"$           12,900.00","$                 12,900.00",2007
131,CHV,Hamilton,Anthony,F,"$           17,700.00","$                 17,700.00",2007
132,LA,Harden,Ty,D,"$           30,000.00","$                 30,000.00",2007
133,LA,Harmse,Kevin,M,"$           40,800.00","$                 40,800.00",2007
134,KC,Harrington,Michael,D,"$           36,000.00","$                 53,500.00",2007
135,RSL,Harris,Atiba,F,"$           30,000.00","$                 30,000.00",2007
136,KC,Hartman,Kevin,GK,"$         150,000.00","$               150,000.00",2007
137,COL,Harvey,Jordan,D,"$           17,700.00","$                 17,700.00",2007
138,RSL,Hashimoto,Duke,F,"$           17,700.00","$                 17,700.00",2007
139,HOU,Hatzke,Nick,M,"$           12,900.00","$                 12,900.00",2007
140,HOU,Hayden,John-Michael,M,"$           17,700.00","$                 17,700.00",2007
141,NE,Heaps,Jay,D,"$         110,000.00","$               113,750.00",2007
142,CLB,Hejduk,Frankie,D,"$         150,000.00","$               175,000.00",2007
143,NE,Helton,Kyle,D,"$           12,900.00","$                 12,900.00",2007
144,TFC,Hemming,Tyler,M,"$           17,700.00","$                 17,700.00",2007
145,CLB,Hendrickson,Ezra,D-M,"$           76,650.00","$                 77,900.00",2007
146,CHV,Hernandez,Jason,D,"$           45,000.00","$                 45,625.00",2007
147,COL,Hernandez,Nicolas,F,"$         130,000.00","$               132,400.00",2007
148,CLB,Herron,Andy,F,"$         140,000.00","$               148,750.00",2007
149,CLB,Hesmer,William,GK,"$           30,870.00","$                 30,870.00",2007
150,DAL,Hislop,Shaka,GK,"$         220,800.00","$               220,800.00",2007
151,HOU,Hoerner,Kenneth,M-F,"$           12,900.00","$                 12,900.00",2007
152,KC,Hohlbein,Aaron,M-D,"$           30,000.00","$                 30,000.00",2007
153,HOU,Holden,Stuart,M,"$           31,500.00","$                 31,500.00",2007
154,COL,Hughes,Justin,GK,"$           12,900.00","$                 12,900.00",2007
155,CLB,Hunter,Ben,F,"$           12,900.00","$                 12,900.00",2007
156,HOU,Ianni,Patrick,D,"$           70,000.00","$               103,000.00",2007
157,DAL,Ibrahim,Abdus,F,"$           50,000.00","$                 83,000.00",2007
158,NE,Igwe,Amaechi,F,"$           45,000.00","$                 78,000.00",2007
159,COL,Ihemelu,Ugo,D,"$           55,000.00","$                 55,000.00",2007
160,NY,Ikangu,Elie,M,"$           17,700.00","$                 17,700.00",2007
161,HOU,James,Jordan,GK,"$           12,900.00","$                 12,900.00",2007
162,HOU,Jaqua,Nate,F,"$         112,500.00","$               119,525.00",2007
163,LA,Jazic,Ante,D-M,"$         108,000.00","$               114,250.00",2007
164,KC,Jewsbury,Jack,M-F,"$           50,000.00","$                 50,000.00",2007
165,RSL,Jimenez,Christian,M,"$           33,075.00","$                 43,075.00",2007
166,KC,John,Will,M-F,"$           33,075.00","$                 40,575.00",2007
167,NE,John,Avery,D,"$           63,000.00","$                 63,750.00",2007
168,KC,Johnson,Eddie,F,"$         750,000.00","$               875,000.00",2007
169,DAL,Jones,Scott,M,"$           12,900.00","$                 12,900.00",2007
170,LA,Jones,Cobi,M,"$           95,000.00","$                 95,000.00",2007
171,NE,Joseph,Shalrie,D,"$         170,625.00","$               180,625.00",2007
172,CLB,Junge,Ryan,D,"$           12,900.00","$                 12,900.00",2007
173,CLB,Kamara,Kei,F,"$           33,000.00","$                 43,000.00",2007
174,NY,Karcz,Chris,M,"$           12,900.00","$                 12,900.00",2007
175,COL,Keel,Stephen,D,"$           17,700.00","$                 17,700.00",2007
176,COL,Kimura,Kosuke,M,"$           12,900.00","$                 12,900.00",2007
177,RSL,Kipre,Jean-Martial,D,"$           30,000.00","$                 30,000.00",2007
178,RSL,Kirby,Dustin,D,"$           12,900.00","$                 12,900.00",2007
179,LA,Kirk,Quavas,F,"$           75,000.00","$               111,500.00",2007
180,COL,Kirovski,Jovan,F,"$         200,000.00","$               200,000.00",2007
181,LA,Klein,Chris,M,"$         180,000.00","$               187,250.00",2007
182,CHV,Kljestan,Sacha,M,"$           70,000.00","$               103,000.00",2007
183,NE,Knighton,Brad,GK,"$           12,900.00","$                 12,900.00",2007
184,KC,Konopka,Chris,GK,"$           12,900.00","$                 12,900.00",2007
185,RSL,Kotschau,Ritchie,D,"$           69,300.00","$                 70,175.00",2007
186,NY,Kovalenko,Dema,M,"$         190,000.00","$               197,375.00",2007
187,DC,Kpene,Guy,F,"$           30,000.00","$                 30,000.00",2007
188,KC,Kraus,Michael,M-F,"$           12,900.00","$                 12,900.00",2007
189,KC,Kronberg,Eric,GK,"$           30,000.00","$                 30,000.00",2007
190,COL,LaBrocca,Nick,M,"$           12,900.00","$                 12,900.00",2007
191,RSL,Lancos,Chris,D,"$           17,700.00","$                 17,700.00",2007
192,NE,Larentowicz,Jeff,M,"$           30,000.00","$                 30,000.00",2007
193,NY,Laventure,Jerrod,F,"$           12,900.00","$                 12,900.00",2007
194,NY,Leitch,Chris,D,"$           43,200.00","$                 43,200.00",2007
195,NE,Leonard,Marshall,M,"$           47,500.00","$                 47,500.00",2007
196,CHV,Llamosa,Carlos,D,"$           84,000.00","$                 84,000.00",2007
197,NE,Loftus,Chris,F,"$           12,900.00","$                 12,900.00",2007
198,TFC,Lombardo,Andrea,F,"$           30,000.00","$                 30,000.00",2007
199,CHV,Lopez,Rodrigo,M,"$           17,700.00","$                 17,700.00",2007
200,KC,Lowery,Amir,M,"$           12,900.00","$                 12,900.00",2007
201,TFC,Lumley,Stephen,D,"$           12,900.00","$                 12,900.00",2007
202,NY,Magee,Mike,F,"$           56,206.25","$                 57,206.25",2007
203,RSL,Mantilla,Matias,D,"$           48,000.00","$                 48,000.00",2007
204,CHI,Mapp,Justin,M,"$         130,000.00","$               136,000.00",2007
205,KC,Marinelli,Carlos,M,"$         165,000.00","$               165,000.00",2007
206,CHI,Marques,Bruno,M,"$           12,900.00","$                 12,900.00",2007
207,CHV,Marsch,Jesse,M,"$         100,000.00","$               109,375.00",2007
208,CLB,Marshall,Chad,D,"$         100,000.00","$               123,000.00",2007
209,TFC,Marshall,Tyrone,D,"$         142,000.00","$               149,500.00",2007
210,LA,Martino,Kyle,M,"$           52,500.00","$                 55,297.27",2007
211,COL,Mastroeni,Pablo,M-D,"$         280,000.00","$               298,000.00",2007
212,NY,Mathis,Clint,M-F,"$         270,000.00","$               410,000.00",2007
213,DAL,McCarty,Dax,M,"$           33,000.00","$                 45,500.00",2007
214,KC,McMahen,Ryan,M,"$           30,000.00","$                 30,000.00",2007
215,DC,McTavish,Devon,M,"$           30,000.00","$                 30,000.00",2007
216,DC,Mediate,Stanton,M-F,"$           30,000.00","$                 30,000.00",2007
217,TFC,Melo,Joey,M,"$           12,900.00","$                 12,900.00",2007
218,NY,Mendes,Carlos,D,"$           62,606.25","$                 62,606.25",2007
219,CHV,Mendoza,Francisco,M,"$           90,000.00","$                 93,750.00",2007
220,CHV,Merlin,Laurent,M,"$           60,000.00","$                 60,000.00",2007
221,CLB,Miglioranzi,Stefani,M,"$           70,008.00","$                 86,258.00",2007
222,DAL,Mina,Roberto,F,"$           80,000.00","$                 80,000.00",2007
223,HOU,Moloi,Mpho,M,"$           17,700.00","$                 17,700.00",2007
224,Pool,Monsalve,David,GK,"$           30,000.00","$                 30,000.00",2007
225,CHI,Monteiro,Jerson,F,"$           17,700.00","$                 17,700.00",2007
226,DAL,Moor,Drew,D,"$           53,350.00","$                 65,850.00",2007
227,DC,Moose,Justin,M,"$           17,700.00","$                 17,700.00",2007
228,RSL,Morales,Javier,M,"$         120,000.00","$               120,000.00",2007
229,DC,Moreno,Jaime,F,"$         250,000.00","$               275,000.00",2007
230,CLB,Moreno,Alejandro,F,"$         120,000.00","$               125,000.00",2007
231,KC,Morsink,Kurt,M,"$           30,000.00","$                 30,000.00",2007
232,CLB,Moss,Brandon,M,"$           17,700.00","$                 17,700.00",2007
233,KC,Movsisyan,Yura,F,"$           35,750.00","$                 45,750.00",2007
234,HOU,Mullan,Brian,M,"$         125,000.00","$               125,000.00",2007
235,HOU,Mulrooney,Richard,M,"$         220,000.00","$               233,200.00",2007
236,DC,Mupier,Mira,F,"$           12,900.00","$                 12,900.00",2007
237,CHV,Myers,Justin,GK,"$           12,900.00","$                 12,900.00",2007
238,CHV,Nagamura,Paulo,M,"$           89,250.00","$                 89,250.00",2007
239,DC,Namoff,Bryan,D,"$           85,000.00","$                 88,750.00",2007
240,HOU,Ngwenya,Joseph,F,"$           51,148.13","$                 62,023.13",2007
241,CHI,Noble,Nick,GK,"$           12,900.00","$                 12,900.00",2007
242,DC,Nolly,Jay,GK,"$           36,000.00","$                 36,000.00",2007
243,NE,Noonan,Pat,F,"$         225,000.00","$               227,500.00",2007
244,DC,North,Brad,F,"$           12,900.00","$                 12,900.00",2007
245,TFC,Nunez,Cristian,M,"$           17,700.00","$                 17,700.00",2007
246,CHV,Nunez,Ramon,M,"$         100,000.00","$               118,000.00",2007
247,TFC,O'Brien,Ronnie,M,"$         240,000.00","$               258,750.00",2007
248,DAL,Oduro,Dominic,F,"$           30,000.00","$                 30,000.00",2007
249,NE,Oka,Arsene,M,"$           12,900.00","$                 12,900.00",2007
250,DC,Olsen,Ben,M,"$         155,000.00","$               177,500.00",2007
251,HOU,Onstad,Pat,GK,"$         168,000.00","$               168,000.00",2007
252,CLB,O'Rourke,Danny,M,"$           46,331.25","$                 56,331.25",2007
253,COL,Osorno,Daniel,F,"$         138,000.00","$               143,000.00",2007
254,CLB,Oughton,Duncan,D,"$           72,000.00","$                 72,000.00",2007
255,Pool,Pardo,Boris,GK,"$           17,700.00","$                 17,700.00",2007
256,NY,Parke,Jeff,D,"$           47,250.00","$                 48,500.00",2007
257,NE,Parkhurst,Michael,D,"$           80,575.00","$                 93,075.00",2007
258,NY,Patterson,Randi,F,"$           12,900.00","$                 12,900.00",2007
259,CHI,Pause,Logan,M,"$           69,300.00","$                 69,300.00",2007
260,LA,Pavon,Carlos,F,"$         132,000.00","$               141,500.00",2007
261,DAL,Pereira,Ricardo,F,"$           30,000.00","$                 30,000.00",2007
262,CHV,Perez,Orlando,D,"$           70,000.00","$                 70,000.00",2007
263,DC,Perkins,Troy,GK,"$           85,000.00","$                 87,500.00",2007
264,CLB,Peterson,Andrew,M,"$           12,900.00","$                 12,900.00",2007
265,COL,Peterson,Jacob,F,"$           70,000.00","$                 88,750.00",2007
266,COL,Petke,Mike,D,"$         126,000.00","$               126,000.00",2007
267,CHI,Pickens,Matt,GK,"$           32,340.00","$                 32,340.00",2007
268,CLB,Pierce,Rusty,D,"$           63,000.00","$                 64,300.00",2007
269,DAL,Pitchkolan,Aaron,M,"$           17,700.00","$                 17,700.00",2007
270,CHI,Plotkin,Brian,M,"$           30,000.00","$                 30,000.00",2007
271,RSL,Pope,Eddie,D,"$         265,000.00","$               265,000.00",2007
272,KC,Pore,Ryan,F,"$           44,825.00","$                 57,325.00",2007
273,TFC,Pozniak,Chris,D,"$           90,000.00","$                 95,000.00",2007
274,COL,Prideaux,Brandon,D,"$           76,403.00","$                 76,403.00",2007
275,NY,Quaranta,Santino,F,"$         100,000.00","$               105,312.50",2007
276,NE,Ralston,Steve,M,"$         150,000.00","$               150,000.00",2007
277,LA,Randolph,Michael,D,"$           17,700.00","$                 17,700.00",2007
278,KC,Raybould,Ryan,D-M,"$           30,000.00","$                 30,000.00",2007
279,CHV,Razov,Ante,F,"$         245,000.00","$               248,750.00",2007
280,TFC,Reda,Marco,D,"$         100,000.00","$               105,000.00",2007
281,NE,Reis,Matt,GK,"$         150,000.00","$               150,000.00",2007
282,NY,Reyna,Claudio,M,"$      1,000,008.00","$            1,250,008.00",2007
283,RSL,Reynish,Kyle,GK,"$           17,700.00","$                 17,700.00",2007
284,Pool,Reynolds,Samuel,GK,"$           17,700.00","$                 17,700.00",2007
285,DAL,Rhine,Bobby,D,"$           60,000.00","$                 62,500.00",2007
286,DAL,Ricchetti,Pablo,M,"$         120,000.00","$               126,625.00",2007
287,NY,Richards,Dane,F-M,"$           30,000.00","$                 30,000.00",2007
288,NE,Riley,James,D-F,"$           30,870.00","$                 30,870.00",2007
289,RSL,Rimando,Nick,GK,"$           64,125.00","$                 68,468.75",2007
290,LA,Roberts,Troy,D,"$           30,000.00","$                 30,000.00",2007
291,CHI,Robinson,Dasan,D,"$           42,500.00","$                 42,500.00",2007
292,HOU,Robinson,Eddie,D,"$         110,000.00","$               110,000.00",2007
293,TFC,Robinson,Carl,M,"$         300,000.00","$               315,000.00",2007
294,CHV,Robles,Eder,D,"$           12,900.00","$                 12,900.00",2007
295,CLB,Rogers,Robbie,F-M,"$           50,000.00","$                 50,000.00",2007
296,CHI,Rolfe,Chris,F,"$           70,000.00","$                 74,700.00",2007
297,DAL,Ruiz,Carlos,F,"$         325,000.00","$               435,000.00",2007
298,CHI,Russolillo,Jordan,D,"$           12,900.00","$                 12,900.00",2007
299,DAL,Sala,Dario,GK,"$         110,000.00","$               119,875.00",2007
300,TFC,Samuel,Collin,F,"$           90,000.00","$               115,000.00",2007
301,COL,Sanneh,Tony,D,"$           60,000.00","$                 60,000.00",2007
302,DAL,Saragosa,Marcelo,M,"$           67,008.00","$                 71,883.00",2007
303,CLB,Schelotto,Guillermo Barros,F,"$         150,000.00","$               150,000.00",2007
304,Pool,Schoeni,Kenny,GK,"$           17,700.00","$                 17,700.00",2007
305,NY,Schopp,Markus,M,"$         175,000.00","$               175,000.00",2007
306,KC,Sealy,Scott,F,"$           33,075.00","$                 33,075.00",2007
307,CHI,Segares,Gonzalo,D,"$           48,300.00","$                 50,800.00",2007
308,RSL,Seitz,Chris,GK,"$           55,000.00","$                 90,500.00",2007
309,DAL,Serioux,Adrian,D,"$         108,000.00","$               120,500.00",2007
310,LA,Sesay,Israel,F,"$           45,000.00","$                 57,083.33",2007
311,DC,Simms,Clyde,M,"$           52,500.00","$                 53,750.00",2007
312,NE,Sims,Willie,F,"$           35,500.00","$                 43,000.00",2007
313,NE,Smith,Khano,F,"$           44,100.00","$                 44,100.00",2007
314,NE,Solle,Ryan,M,"$           17,700.00","$                 17,700.00",2007
315,CHV,Solorzano,Erasmo,M,"$           12,900.00","$                 12,900.00",2007
316,CHI,Soumare,Bakary,D,"$           45,000.00","$                 78,000.00",2007
317,TFC,Stamatopolus,Kenny,GK,"$           30,000.00","$                 37,500.00",2007
318,NY,Stammler,Seth,D,"$           30,870.00","$                 30,870.00",2007
319,RSL,Stewart,Jack,D,"$           41,081.25","$                 48,581.25",2007
320,RSL,Sturgis,Nathan,M,"$           70,000.00","$               103,000.00",2007
321,CHV,Suarez,Claudio,D,"$         146,991.60","$               146,991.60",2007
322,TFC,Sutton,Greg,GK,"$         125,000.00","$               132,562.50",2007
323,CLB,Szetela,Danny,M,"$           43,135.31","$                 48,760.31",2007
324,RSL,Talley,Carey,D,"$         118,248.00","$               118,248.00",2007
325,CHI,Telesford,Osei,D,"$           36,000.00","$                 36,625.00",2007
326,CLB,Thomas,Jacob,M,"$           84,000.00","$                 87,750.00",2007
327,CHV,Thomas,Shavar,D,"$           70,000.00","$                 73,750.00",2007
328,DAL,Thompson,Abe,F,"$           30,000.00","$                 30,000.00",2007
329,NE,Thompson,Wells,M,"$           30,000.00","$                 30,000.00",2007
330,COL,Thornton,Zach,GK,"$           57,600.00","$                 57,600.00",2007
331,DAL,Toja,Juan Carlos,M,"$         100,008.00","$               100,008.00",2007
332,LA,Tudela,Josh,M,"$           17,700.00","$                 17,700.00",2007
333,NE,Twellman,Taylor,F,"$         325,008.00","$               350,008.00",2007
334,NY,Ubiparipovic,Sinisa,F-M,"$           17,700.00","$                 17,700.00",2007
335,HOU,Ustruck,Erik,M,"$           12,900.00","$                 12,900.00",2007
336,LA,Vagenas,Peter,M,"$         131,250.00","$               131,875.00",2007
337,NY,Van Den Bergh,Dave,M,"$         180,000.00","$               214,583.33",2007
338,DC,Vanney,Greg,D,"$         216,667.00","$               236,667.00",2007
339,CHV,Vaughn,Lawson,D,"$           30,000.00","$                 30,000.00",2007
340,LA,Veris,Kyle,D,"$           17,700.00","$                 17,700.00",2007
341,KC,Victorine,Sasha,M,"$         137,500.00","$               140,000.00",2007
342,NY,Vide,Joe,M,"$           17,700.00","$                 17,700.00",2007
343,CLB,Virtuoso,Ricardo,M,"$           60,000.00","$               102,000.00",2007
344,DAL,Wagenfuhr,David,D,"$           30,870.00","$                 30,870.00",2007
345,DAL,Wagner,Blake,D,"$           33,000.00","$                 45,500.00",2007
346,KC,Wahl,Tyson,D,"$           30,000.00","$                 30,000.00",2007
347,HOU,Waibel,Craig,D,"$           85,000.00","$                 85,000.00",2007
348,DC,Walker,Jamil,M-F,"$           30,870.00","$                 30,870.00",2007
349,DAL,Wallace,Anthony,M,"$           45,000.00","$                 78,000.00",2007
350,CHI,Wanchope,Paulo,F,"$         240,000.00","$               267,500.00",2007
351,CLB,Ward,Tim,D,"$           38,456.25","$                 48,456.25",2007
352,NE,Warren,Doug,GK,"$           50,000.00","$                 50,000.00",2007
353,COL,Wasson,Daniel,D,"$           17,700.00","$                 17,700.00",2007
354,NY,Waterreus,Ronald,GK,"$         200,000.00","$               200,000.00",2007
355,KC,Watson,Lance,M,"$           17,700.00","$                 17,700.00",2007
356,RSL,Watson,Jamie,F,"$           45,100.00","$                 50,100.00",2007
357,HOU,Wells,Zachary,GK,"$           50,400.00","$                 50,400.00",2007
358,TFC,Welsh,Andrew,M,"$         195,000.00","$               204,750.00",2007
359,RSL,Williams,Andy,F,"$           70,008.00","$                 70,008.00",2007
360,COL,Wilmes,Clifton,D,"$           12,900.00","$                 12,900.00",2007
361,RSL,Wingert,Chris,D,"$           54,993.75","$                 62,493.75",2007
362,NY,Wolyniec,John,F,"$           65,625.00","$                 65,625.00",2007
